ticket_id,ticket_text,recommendations
1,Go to My Orders and click on Request Refund. Refunds take 5 to 7 days after approval.,"[{'rank': 1, 'article_title': 'Refund Process', 'score': 0.9744349718093872}, {'rank': 2, 'article_title': 'Payment Failure', 'score': 0.6552003622055054}, {'rank': 3, 'article_title': 'Cancel Order', 'score': 0.6494073271751404}]"
2,"Check internet and card details, then retry. If payment deducted but order failed, refund arrives in 3 to 5 days.","[{'rank': 1, 'article_title': 'Payment Failure', 'score': 0.9510540962219238}, {'rank': 2, 'article_title': 'Refund Process', 'score': 0.7480225563049316}, {'rank': 3, 'article_title': 'Cancel Order', 'score': 0.5337972640991211}]"
3,"Check Caps Lock, clear cache, or use another browser.If still failing, click Forgot Password or contact support.","[{'rank': 1, 'article_title': 'Login Issues', 'score': 0.9014403820037842}, {'rank': 2, 'article_title': 'Password Reset', 'score': 0.5575491189956665}, {'rank': 3, 'article_title': 'Contact Support', 'score': 0.5400000810623169}]"
4,"Click Forgot Password, enter email/phone, and follow the link.","[{'rank': 1, 'article_title': 'Password Reset', 'score': 0.9414070844650269}, {'rank': 2, 'article_title': 'Login Issues', 'score': 0.43625861406326294}, {'rank': 3, 'article_title': 'Account Deactivation', 'score': 0.3888053297996521}]"
5,Go to Settings then Account click on Deactivate. Data and history will be removed. Reactivate within 30 days or email for permanent deletion.,"[{'rank': 1, 'article_title': 'Account Deactivation', 'score': 0.979688286781311}, {'rank': 2, 'article_title': 'Password Reset', 'score': 0.3741920590400696}, {'rank': 3, 'article_title': 'Subscription Renewal', 'score': 0.2762225568294525}]"
6,"Open My Orders click on Track Shipment.Use tracking ID for updates. If stuck over 48 hrs, contact support.","[{'rank': 1, 'article_title': 'Order Tracking', 'score': 0.980854868888855}, {'rank': 2, 'article_title': 'Product Not Delivered', 'score': 0.6081674695014954}, {'rank': 3, 'article_title': 'Cancel Order', 'score': 0.5261150598526001}]"
7,"Check tracking ID. If marked Delivered but not received, share order ID + address. We'll investigate and arrange replacement/refund.","[{'rank': 1, 'article_title': 'Product Not Delivered', 'score': 0.864595890045166}, {'rank': 2, 'article_title': 'Order Tracking', 'score': 0.6730077862739563}, {'rank': 3, 'article_title': 'Payment Failure', 'score': 0.48116058111190796}]"
8,"Go to My Orders click on Cancel before shipment. If shipped, refuse delivery. Refund starts once cancellation confirmed.","[{'rank': 1, 'article_title': 'Cancel Order', 'score': 0.973879337310791}, {'rank': 2, 'article_title': 'Refund Process', 'score': 0.6721639633178711}, {'rank': 3, 'article_title': 'Order Tracking', 'score': 0.5162811875343323}]"
9,"Open Subscriptions then Manage Plan click on Renew. Update payment method if failed. For issues, share plan ID.","[{'rank': 1, 'article_title': 'Subscription Renewal', 'score': 0.9595963358879089}, {'rank': 2, 'article_title': 'Order Tracking', 'score': 0.4652189016342163}, {'rank': 3, 'article_title': 'Password Reset', 'score': 0.4434894919395447}]"
10,"Restart app, clear cache, and update version.If issue persists, send screenshot to techsupport@company.com","[{'rank': 1, 'article_title': 'Contact Support', 'score': 0.9380373954772949}, {'rank': 2, 'article_title': 'Login Issues', 'score': 0.3399697244167328}, {'rank': 3, 'article_title': 'Order Tracking', 'score': 0.29684561491012573}]"
